Date,Open,High,Low,Close,Adj Close,Volume
2021-06-03,68.110001,68.480003,67.290001,68.349998,68.349998,1488623
2021-06-04,68.400002,68.730003,68.269997,68.550003,68.550003,1611244
2021-06-07,68.510002,69.250000,68.269997,68.510002,68.510002,1597468
2021-06-08,68.300003,68.459999,67.680000,68.250000,68.250000,2307921
2021-06-09,68.129997,68.500000,67.150002,67.449997,67.449997,2341816
2021-06-10,67.650002,67.839996,66.470001,67.180000,67.180000,2060574
2021-06-11,67.160004,67.790001,66.800003,67.510002,67.510002,1869005
2021-06-14,67.680000,68.019997,67.160004,67.239998,67.239998,1927774
2021-06-15,67.599998,67.650002,66.800003,67.050003,67.050003,2394217
2021-06-16,67.190002,67.260002,66.169998,66.470001,66.470001,3014567
2021-06-17,66.010002,66.720001,65.650002,66.110001,66.110001,2481877
2021-06-18,66.089996,66.089996,64.309998,64.559998,64.559998,5421947
2021-06-21,64.440002,65.849998,63.830002,65.690002,65.690002,3434171
2021-06-22,65.699997,66.389999,65.330002,66.150002,66.150002,2013006
2021-06-23,66.220001,66.389999,65.300003,65.300003,65.300003,1885264
2021-06-24,65.639999,66.010002,65.440002,65.610001,65.610001,1655578
2021-06-25,65.639999,66.339996,65.519997,66.050003,66.050003,1570475
2021-06-28,66.040001,66.180000,65.099998,65.300003,65.300003,1807851
2021-06-29,65.339996,67.250000,65.320000,66.830002,66.830002,2788324
2021-06-30,66.820000,67.080002,65.730003,66.440002,66.440002,3069566
2021-07-01,66.830002,67.680000,66.639999,67.190002,67.190002,2595816
2021-07-02,67.519997,68.209999,67.010002,67.180000,67.180000,2089857
2021-07-05,67.250000,67.750000,66.970001,67.500000,67.500000,1334081
2021-07-06,67.529999,67.550003,65.720001,66.040001,66.040001,2451873
2021-07-07,66.180000,66.790001,66.040001,66.400002,66.400002,1620221
2021-07-08,66.000000,66.000000,64.940002,65.739998,65.739998,3163295
2021-07-09,65.940002,69.000000,65.559998,68.010002,68.010002,3940116
2021-07-12,68.360001,68.779999,67.169998,68.099998,68.099998,3041209
2021-07-13,68.040001,68.599998,67.739998,67.900002,67.900002,2333015
2021-07-14,67.650002,68.480003,67.419998,67.919998,67.919998,1624218
2021-07-15,67.820000,68.120003,67.230003,67.400002,67.400002,1852286
2021-07-16,67.589996,67.889999,66.550003,67.010002,67.010002,2378716
2021-07-19,66.510002,66.540001,64.110001,64.540001,64.540001,4385855
2021-07-20,65.000000,65.849998,64.599998,65.400002,65.400002,2839162
2021-07-21,65.680000,66.959999,65.489998,66.489998,66.489998,2875831
2021-07-22,66.790001,67.430000,66.459999,66.529999,66.529999,1271208
2021-07-23,66.900002,67.300003,66.870003,67.019997,67.019997,1486785
2021-07-26,66.870003,67.550003,66.610001,67.459999,67.459999,1324409
2021-07-27,67.150002,67.339996,66.730003,67.080002,67.080002,1513181
2021-07-28,67.309998,67.440002,65.779999,66.410004,66.410004,3490729
2021-07-29,66.940002,67.360001,66.580002,66.760002,66.760002,1871530
2021-07-30,66.500000,66.699997,65.970001,66.220001,66.220001,2677146
2021-08-02,66.900002,67.519997,66.080002,66.080002,66.080002,2023831
2021-08-03,66.220001,66.750000,65.830002,66.680000,66.680000,2177323
2021-08-04,66.739998,67.000000,66.300003,66.570000,66.570000,1647430
2021-08-05,66.269997,67.089996,66.190002,67.080002,67.080002,1937663
2021-08-06,66.830002,67.449997,66.760002,67.080002,67.080002,1293297
2021-08-09,67.099998,67.540001,66.919998,67.239998,67.239998,1096326
2021-08-10,67.220001,67.580002,66.959999,67.480003,67.480003,1300082
2021-08-11,67.599998,68.150002,67.510002,68.010002,68.010002,1807566
2021-08-12,68.250000,69.139999,68.099998,68.750000,68.750000,2088412
2021-08-13,68.760002,69.519997,68.599998,69.160004,69.160004,1699808
2021-08-16,68.750000,68.919998,67.989998,68.260002,68.260002,1851874
2021-08-17,67.989998,68.099998,67.639999,67.760002,67.760002,1464551
2021-08-18,67.750000,68.110001,67.510002,68.019997,68.019997,1375275
2021-08-19,67.199997,67.300003,65.160004,65.519997,65.519997,4719089
2021-08-20,65.500000,65.709999,64.139999,64.769997,64.769997,4242856
2021-08-23,65.500000,65.599998,64.820000,65.209999,65.209999,1914354
2021-08-24,65.599998,66.779999,65.339996,66.580002,66.580002,2512069
2021-08-25,66.760002,66.800003,66.070000,66.419998,66.419998,1254464
2021-08-26,66.029999,66.300003,65.650002,65.970001,65.970001,1404408
2021-08-27,65.889999,66.660004,65.629997,66.500000,66.500000,1215087
2021-08-30,66.860001,67.300003,66.750000,66.760002,66.760002,1263113
2021-08-31,66.889999,67.220001,65.320000,65.519997,65.519997,3787461
2021-09-01,65.959999,66.160004,64.440002,64.599998,64.599998,3732846
2021-09-02,64.690002,65.230003,64.620003,64.930000,64.930000,1693540
2021-09-03,65.050003,65.330002,64.510002,64.809998,64.809998,1880540
2021-09-06,64.860001,65.540001,64.690002,65.300003,65.300003,1531291
2021-09-07,65.199997,65.760002,64.900002,65.250000,65.250000,1450674
2021-09-08,64.949997,65.650002,64.599998,64.910004,64.910004,2737824
2021-09-09,64.610001,64.919998,63.759998,64.629997,64.629997,2620023
2021-09-10,64.820000,65.059998,64.449997,64.559998,64.559998,1493458
2021-09-13,64.769997,65.830002,64.669998,65.610001,65.610001,2131987
2021-09-14,65.720001,66.279999,65.400002,65.570000,65.570000,1944671
